,dataset_name,sequence_name,image_path,mask,gold_mask,cyto3,nuclei,cyto2_cp3,tissuenet_cp3,livecell_cp3,yeast_PhC_cp3,yeast_BF_cp3,bact_phase_cp3,bact_fluor_cp3,deepbacs_cp3,cyto2,cyto,CPx,transformer_cp3,neurips_cellpose_default,neurips_cellpose_transformer,neurips_grayscale_cyto2,CP,CPx.1,TN1,TN2,TN3,LC1,LC2,LC3,LC4,generic_confocal_3D_unet,generic_light_sheet_3D_unet,confocal_3D_unet_ovules_ds1x,confocal_3D_unet_ovules_ds2x,confocal_3D_unet_ovules_ds3x,confocal_2D_unet_ovules_ds2x,lightsheet_3D_unet_root_ds1x,lightsheet_3D_unet_root_ds2x,lightsheet_3D_unet_root_ds3x,lightsheet_2D_unet_root_ds1x,lightsheet_3D_unet_root_nuclei_ds1x,lightsheet_2D_unet_root_nuclei_ds1x,confocal_2D_unet_sa_meristem_cells,confocal_3D_unet_sa_meristem_cells,lightsheet_3D_unet_mouse_embryo_cells,confocal_3D_unet_mouse_embryo_nuclei,PlantSeg_3Dnuc_platinum
28,DIC-C2DH-HeLa,2,./datasets/DIC-C2DH-HeLa/02/t040.tif,./datasets/DIC-C2DH-HeLa/02_ERR_SEG/mask040.tif,,0.30391357115855233,0.3036801273125124,0.3061680045043025,0.30391357115855233,0.30263390006534435,0.28668157153970936,0.3224101053311272,0.299118868504257,0.27641631162507607,0.3022197605132498,0.29713895513968747,0.2998145558761987,0.28738296529658613,,,,0.30391357115855233,0.30391357115855233,,0.3031357499353761,0.30391357115855233,0.30391357115855233,0.25114366646223457,0.30391357115855233,0.30391357115855233,0.30391357115855233,,,,,,0.30391032831039894,,,,0.30391357115855233,,0.30391032831039894,0.30391357115855233,,,,
29,DIC-C2DH-HeLa,2,./datasets/DIC-C2DH-HeLa/02/t025.tif,./datasets/DIC-C2DH-HeLa/02_ERR_SEG/mask025.tif,,0.33435136263221654,0.3347827968705845,0.34145611319354713,0.3347827968705845,0.3329265564301259,0.32759035442890533,0.33317398280539995,0.33105519575311826,0.3188805735488334,0.3347726022933257,0.33506490860847554,0.33174492297141117,0.33313669350122305,,,,0.3272206709921094,0.3347827968705845,,0.33168403593571805,0.3347827968705845,0.3347827968705845,0.24964366583243952,0.3347827968705845,0.3347114380998447,0.3347827968705845,,,,,,0.3347827968705845,,,,0.3347827968705845,,0.3347827968705845,0.3347827968705845,,,,
30,Fluo-C2DL-Huh7,1,./datasets/Fluo-C2DL-Huh7/01/t025.tif,,./datasets/Fluo-C2DL-Huh7/01_GT/SEG/man_seg025.tif,0.6506119493439746,0.6519277395042843,0.651018684209076,0.6522153601560549,0.6518952095360299,0.6522153601560549,0.6522153601560549,0.6518496697327774,0.6496057201065047,0.6514867422079809,0.6518965107101616,0.6502755374810453,0.6498133572487796,,,,0.6593532235565187,0.654835881690572,,0.6522153601560549,0.6522153601560549,0.6593085844995257,0.6519797901184582,0.6520422551853982,0.6517390835205877,0.650420996051711,,,,,,0.6522153601560549,,,,0.6522153601560549,,0.6522387906835297,0.6522153601560549,,,,
31,Fluo-C2DL-Huh7,1,./datasets/Fluo-C2DL-Huh7/01/t014.tif,,./datasets/Fluo-C2DL-Huh7/01_GT/SEG/man_seg014.tif,0.6433930904129813,0.6432887841327951,0.652927684729064,0.6444252769914766,0.6435167298190069,0.6444252769914766,0.6444252769914766,0.6444110933639452,0.6422271590746247,0.6436094715829782,0.6557399958155528,0.6481576080891402,0.6432218290546322,,,,0.6488755122386914,0.6447967172331144,,0.6444252769914766,0.6444252769914766,0.650349562299525,0.6437447387520986,0.6444252769914766,0.6460102254015048,0.6429759447210395,,,,,,0.6444239875606813,,,,0.6444252769914766,,0.6443002116187225,0.6444252769914766,,,,
32,Fluo-C2DL-Huh7,1,./datasets/Fluo-C2DL-Huh7/01/t006.tif,,./datasets/Fluo-C2DL-Huh7/01_GT/SEG/man_seg006.tif,0.6593492847195848,0.6576415928014405,0.6624997522682321,0.6585317245344466,0.6569828032347144,0.6573389822605666,0.6573389822605666,0.658167166241942,0.654553874823176,0.6568964005211301,0.6632988034158207,0.6545525694593469,0.6558158190404229,,,,0.662711966535689,0.6591313648827616,,0.6573389822605666,0.6573389822605666,0.6645939463018848,0.6569893492620335,0.6573389822605666,0.6602451949795671,0.6560354841282439,,,,,,0.6573389822605666,,,,0.6573389822605666,,0.6572525423983298,0.6573389822605666,,,,
33,Fluo-C2DL-Huh7,1,./datasets/Fluo-C2DL-Huh7/01/t002.tif,,./datasets/Fluo-C2DL-Huh7/01_GT/SEG/man_seg002.tif,0.6604620928223672,0.6583900785325616,0.6585566462413519,0.6578001471912324,0.6572865933888777,0.6578001471912324,0.6584490947596174,0.657794905239027,0.6553361580672253,0.6574778287902869,0.6584320451959172,0.6574568693327896,0.6565705077569591,,,,0.6667464082509491,0.6641752137599937,,0.6578001471912324,0.6578001471912324,0.6622757338807798,0.6582143661960694,0.6573324334704729,0.6552564593339201,0.6565678906633848,,,,,,0.6578001471912324,,,,0.6578001471912324,,0.6577804900413902,0.6578001471912324,,,,
34,Fluo-C2DL-Huh7,1,./datasets/Fluo-C2DL-Huh7/01/t019.tif,,./datasets/Fluo-C2DL-Huh7/01_GT/SEG/man_seg019.tif,0.6469461062796166,0.6477561654770997,0.6548149889963174,0.6485177778616257,0.6480501058934935,0.6485177778616257,0.6485177778616257,0.6493955407415214,0.6462001593487894,0.6491387275736927,0.6480669426605432,0.645150257148864,0.6533616310724313,,,,0.6589633693896375,0.6576088374103972,,0.6485177778616257,0.6485177778616257,0.6555465473264901,0.6472216440389743,0.6503820314203038,0.6534346294154425,0.6479995976563482,,,,,,0.6485177778616257,,,,0.6485177778616257,,0.6485035235486242,0.6485164820048029,,,,
35,Fluo-C2DL-Huh7,2,./datasets/Fluo-C2DL-Huh7/02/t021.tif,,./datasets/Fluo-C2DL-Huh7/02_GT/SEG/man_seg021.tif,0.5479844076048725,0.5503693041734218,0.5452276042971456,0.546243865609664,0.5462461457244269,0.5462461457244269,0.5462461457244269,0.5462427255548044,0.54427749325302,0.5473950382172231,0.5432978849447007,0.5432831207824033,0.5449703331206728,,,,0.5428914058275427,0.5496704695006018,,0.5497575030686226,0.5462461457244269,0.5488750236339572,0.5458358333714175,0.5462427255548044,0.5471838425808432,0.545691136247552,,,,,,0.5462461457244269,,,,0.5462461457244269,,0.5462461457244269,0.54624728578433,,,,
36,Fluo-C2DL-Huh7,2,./datasets/Fluo-C2DL-Huh7/02/t008.tif,,./datasets/Fluo-C2DL-Huh7/02_GT/SEG/man_seg008.tif,0.5361950247590026,0.540728637622939,0.5384929144221239,0.5359711255428059,0.5369076610429842,0.5369076610429842,0.5369076610429842,0.5366261301296842,0.5343102359681513,0.5362411628583296,0.5317629701046666,0.531415101710869,0.5342350304044761,,,,0.540199073009839,0.543951197892663,,0.5386351380599342,0.5369076610429842,0.5369065347138351,0.535858638011101,0.5369076610429842,0.5348391280227992,0.5368918925851257,,,,,,0.5369076610429842,,,,0.5369076610429842,,0.5369076610429842,0.5369076610429842,,,,
37,Fluo-C2DL-Huh7,2,./datasets/Fluo-C2DL-Huh7/02/t028.tif,,./datasets/Fluo-C2DL-Huh7/02_GT/SEG/man_seg028.tif,0.5410014828400576,0.5456170891440245,0.5397376982259425,0.5438023075116697,0.5438023075116697,0.5438023075116697,0.5438023075116697,0.5435227894153071,0.5417140529878929,0.5443718831281684,0.5356685715289962,0.5336672980305833,0.5423490104161687,,,,0.532953180702125,0.5408814643264404,,0.5474612627755916,0.5438023075116697,0.5465483204168667,0.5423921157629581,0.5433330929332684,0.5409584551853865,0.5438023075116697,,,,,,0.5438011710543169,,,,0.5438011710543169,,0.5436977604387111,0.5438011710543169,,,,
38,Fluo-C2DL-Huh7,2,./datasets/Fluo-C2DL-Huh7/02/t001.tif,,./datasets/Fluo-C2DL-Huh7/02_GT/SEG/man_seg001.tif,0.5369065347138351,0.533816483419234,0.5299080079079641,0.532862422229499,0.532862422229499,0.532862422229499,0.532862422229499,0.53246254069281,0.5314430595678679,0.5337805865389609,0.531483320675352,0.5315056888720113,0.5360543769249644,,,,0.5388067444305764,0.547672534161454,,0.5328512182250621,0.532862422229499,0.5328512182250621,0.532862422229499,0.532862422229499,0.5328008022318652,0.532862422229499,,,,,,0.532862422229499,,,,0.532862422229499,,0.532862422229499,0.532862422229499,,,,
39,Fluo-C2DL-Huh7,2,./datasets/Fluo-C2DL-Huh7/02/t000.tif,,./datasets/Fluo-C2DL-Huh7/02_GT/SEG/man_seg000.tif,0.5467045853480091,0.5308215178342015,0.5313714894922086,0.5292821353852571,0.5292821353852571,0.5292821353852571,0.5292821353852571,0.5294862407267487,0.530720955999889,0.5300988837727154,0.5377833180568286,0.5271261888620349,0.527917258020802,,,,0.5267115110218107,0.5399988838203891,,0.5310562135059012,0.5292821353852571,0.5292821353852571,0.5292821353852571,0.5292799050267148,0.5292765595010996,0.5292821353852571,,,,,,0.5292810202051728,,,,0.5292821353852571,,0.5292821353852571,0.5292821353852571,,,,
40,Fluo-C2DL-MSC,1,./datasets/Fluo-C2DL-MSC/01/t019.tif,./datasets/Fluo-C2DL-MSC/01_ERR_SEG/mask019.tif,./datasets/Fluo-C2DL-MSC/01_GT/SEG/man_seg019.tif,0.8908094560633031,0.8866967878945125,0.8924721320647208,0.8866967878945125,0.8866967878945125,0.8345706893332504,0.8860824000164534,0.8866601289709073,0.8859250948567694,0.8864272702546415,0.8949944781064383,0.8845341946060853,0.8866967878945125,,,,0.8756859024254442,0.8866967878945125,,0.8863237959414089,0.8866967878945125,0.8866967878945125,0.8785099269165902,0.8866967878945125,0.8856428732987738,0.8866967878945125,,,,,,0.8866989443461484,,,,0.8866989443461484,,0.8866967878945125,0.8866967878945125,,,,
41,Fluo-C2DL-MSC,1,./datasets/Fluo-C2DL-MSC/01/t008.tif,./datasets/Fluo-C2DL-MSC/01_ERR_SEG/mask008.tif,,0.914023130314998,0.9087334992275742,0.9067447528618129,0.9083870445624967,0.9083870445624967,0.8353029600548805,0.907981168561716,0.907981168561716,0.908124528947478,0.9088129587914502,0.9088350320666264,0.9083495379094594,0.9083870445624967,,,,0.9082745290260527,0.9083870445624967,,0.9083826319385595,0.9083870445624967,0.9081487920672591,0.9074542286234614,,0.9083870445624967,0.9083870445624967,,,,,,0.9083892508821176,,,,0.9083892508821176,,0.9083870445624967,0.9083848382479773,,,,
42,Fluo-C2DL-MSC,1,./datasets/Fluo-C2DL-MSC/01/t028.tif,./datasets/Fluo-C2DL-MSC/01_ERR_SEG/mask028.tif,./datasets/Fluo-C2DL-MSC/01_GT/SEG/man_seg028.tif,0.9088880100099683,0.9021854491607945,0.9097559423609786,0.9021854491607945,0.9021854491607945,0.860613588766127,0.9021854491607945,0.9017120948017341,0.9017953530277212,0.9021854491607945,0.9080010171764108,0.9021569535767541,0.9021854491607945,,,,0.902040788107636,0.9021854491607945,,0.9018523233829183,0.9021854491607945,0.9021854491607945,0.8831431961303277,0.9021854491607945,0.9012652541738414,0.9021854491607945,,,,,,0.9021854491607945,,,,0.9021854491607945,,0.9021854491607945,0.9021854491607945,,,,
